nodesData,years,converter_techs,unitsBuild,unitsUpperLimit
OTG,2020,wind_offshore_floating,0.0,156.56917
OTG,2020,wind_offshore_foundation,0.0,9.93186
OTG,2020,wind_onshore,0.0,34.969080000000005
OTG,2021,BIO,0.0,100.0
OTG,2021,COAL,0.0,100.0
OTG,2021,DIE,0.0,100.0
OTG,2021,geoth,0.0,280.0
OTG,2022,BIO,0.0,100.0
OTG,2022,COAL,0.0,100.0
OTG,2022,DIE,0.0,100.0
OTG,2022,geoth,0.0,280.0
OTG,2023,BIO,0.0,100.0
OTG,2023,COAL,0.0,100.0
OTG,2023,DIE,0.0,100.0
OTG,2023,geoth,0.0,280.0
OTG,2024,BIO,0.0,100.0
OTG,2024,COAL,0.0,100.0
OTG,2024,DIE,0.0,100.0
OTG,2024,geoth,0.0,280.0
OTG,2025,BIO,0.0,100.0
OTG,2025,Battery,0.0,50.0
OTG,2025,COAL,0.0,100.0
OTG,2025,DIE,0.0,100.0
OTG,2025,geoth,0.0,280.0
OTG,2025,pv_central_fixed,0.0,1165.37525
OTG,2025,pv_central_track_azimuth,0.0,1152.8751499999998
OTG,2025,pv_decentral,0.0,0.48821
OTG,2025,wind_offshore_floating,0.0,156.56917
OTG,2025,wind_offshore_foundation,0.0,9.93186
OTG,2025,wind_onshore,0.0,34.969080000000005
OTG,2026,BIO,0.0,100.0
OTG,2026,COAL,0.0,100.0
OTG,2026,DIE,0.0,100.0
OTG,2026,geoth,0.0,280.0
OTG,2027,BIO,0.0,100.0
OTG,2027,COAL,0.0,100.0
OTG,2027,DIE,0.0,100.0
OTG,2027,geoth,0.0,280.0
OTG,2028,BIO,0.0,100.0
OTG,2028,COAL,0.0,100.0
OTG,2028,DIE,0.0,100.0
OTG,2028,geoth,0.0,280.0
OTG,2029,BIO,0.0,100.0
OTG,2029,COAL,0.0,100.0
OTG,2029,DIE,0.0,100.0
OTG,2029,geoth,0.0,280.0
OTG,2030,BIO,0.0,100.0
OTG,2030,Battery,0.0,50.0
OTG,2030,COAL,0.0,100.0
OTG,2030,DIE,0.0,100.0
OTG,2030,geoth,0.0,280.0
OTG,2030,pv_central_fixed,0.0,1165.37525
OTG,2030,pv_central_track_azimuth,0.0,1152.8751499999998
OTG,2030,pv_decentral,0.0,0.48821
OTG,2030,wind_offshore_floating,0.0,156.56917
OTG,2030,wind_offshore_foundation,0.0,9.93186
OTG,2030,wind_onshore,0.0,34.969080000000005
OTG,2031,BIO,0.0,100.0
OTG,2031,COAL,0.0,100.0
OTG,2031,DIE,0.0,100.0
OTG,2031,geoth,0.0,280.0
OTG,2032,BIO,0.0,100.0
OTG,2032,COAL,0.0,100.0
OTG,2032,DIE,0.0,100.0
OTG,2032,geoth,0.0,280.0
OTG,2033,BIO,0.0,100.0
OTG,2033,COAL,0.0,100.0
OTG,2033,DIE,0.0,100.0
OTG,2033,geoth,0.0,280.0
OTG,2034,BIO,0.0,100.0
OTG,2034,COAL,0.0,100.0
OTG,2034,DIE,0.0,100.0
OTG,2034,geoth,0.0,280.0
OTG,2035,BIO,0.0,100.0
OTG,2035,Battery,0.0,50.0
OTG,2035,COAL,0.0,100.0
OTG,2035,DIE,0.0,100.0
OTG,2035,geoth,0.0,280.0
OTG,2035,pv_central_fixed,0.0,1165.37525
OTG,2035,pv_central_track_azimuth,0.0,1152.8751499999998
OTG,2035,pv_decentral,0.0,0.48821
OTG,2035,wind_offshore_floating,0.0,156.56917
OTG,2035,wind_offshore_foundation,0.0,9.93186
OTG,2035,wind_onshore,0.0,34.969080000000005
OTG,2036,BIO,0.0,100.0
OTG,2036,COAL,0.0,100.0
OTG,2036,DIE,0.0,100.0
OTG,2036,geoth,0.0,280.0
OTG,2037,BIO,0.0,100.0
OTG,2037,COAL,0.0,100.0
OTG,2037,DIE,0.0,100.0
OTG,2037,geoth,0.0,280.0
OTG,2038,BIO,0.0,100.0
OTG,2038,COAL,0.0,100.0
OTG,2038,DIE,0.0,100.0
OTG,2038,geoth,0.0,280.0
OTG,2039,BIO,0.0,100.0
OTG,2039,COAL,0.0,100.0
OTG,2039,DIE,0.0,100.0
OTG,2039,geoth,0.0,280.0
OTG,2040,BIO,0.0,100.0
OTG,2040,Battery,0.0,50.0
OTG,2040,COAL,0.0,100.0
OTG,2040,DIE,0.0,100.0
OTG,2040,geoth,0.0,280.0
OTG,2040,pv_central_fixed,0.0,1165.37525
OTG,2040,pv_central_track_azimuth,0.0,1152.8751499999998
OTG,2040,pv_decentral,0.0,0.48821
OTG,2040,wind_offshore_floating,0.0,156.56917
OTG,2040,wind_offshore_foundation,0.0,9.93186
OTG,2040,wind_onshore,0.0,34.969080000000005
OTG,2041,BIO,0.0,100.0
OTG,2041,COAL,0.0,100.0
OTG,2041,DIE,0.0,100.0
OTG,2041,geoth,0.0,280.0
OTG,2042,BIO,0.0,100.0
OTG,2042,COAL,0.0,100.0
OTG,2042,DIE,0.0,100.0
OTG,2042,geoth,0.0,280.0
OTG,2043,BIO,0.0,100.0
OTG,2043,COAL,0.0,100.0
OTG,2043,DIE,0.0,100.0
OTG,2043,geoth,0.0,280.0
OTG,2044,BIO,0.0,100.0
OTG,2044,COAL,0.0,100.0
OTG,2044,DIE,0.0,100.0
OTG,2044,geoth,0.0,280.0
OTG,2045,BIO,0.0,100.0
OTG,2045,Battery,0.0,50.0
OTG,2045,COAL,0.0,100.0
OTG,2045,DIE,0.0,100.0
OTG,2045,geoth,0.0,280.0
OTG,2045,pv_central_fixed,0.0,1165.37525
OTG,2045,pv_central_track_azimuth,0.0,1152.8751499999998
OTG,2045,pv_decentral,0.0,0.48821
OTG,2045,wind_offshore_floating,0.0,156.56917
OTG,2045,wind_offshore_foundation,0.0,9.93186
OTG,2045,wind_onshore,0.0,34.969080000000005
OTG,2046,BIO,0.0,100.0
OTG,2046,COAL,0.0,100.0
OTG,2046,DIE,0.0,100.0
OTG,2046,geoth,0.0,280.0
OTG,2047,BIO,0.0,100.0
OTG,2047,COAL,0.0,100.0
OTG,2047,DIE,0.0,100.0
OTG,2047,geoth,0.0,280.0
OTG,2048,BIO,0.0,100.0
OTG,2048,COAL,0.0,100.0
OTG,2048,DIE,0.0,100.0
OTG,2048,geoth,0.0,280.0
OTG,2049,BIO,0.0,100.0
OTG,2049,COAL,0.0,100.0
OTG,2049,DIE,0.0,100.0
OTG,2049,geoth,0.0,280.0
OTG,2050,Battery,0.0,50.0
OTG,2050,pv_central_fixed,0.0,1165.37525
OTG,2050,pv_central_track_azimuth,0.0,1152.8751499999998
OTG,2050,pv_decentral,0.0,0.48821
OTG,2050,wind_offshore_floating,0.0,156.56917
OTG,2050,wind_offshore_foundation,0.0,9.93186
OTG,2050,wind_onshore,0.0,34.969080000000005
TRN,1992,BIO,0.0,100.0
TRN,1992,COAL,0.0,100.0
TRN,1992,DIE,0.0,100.0
TRN,1992,geoth,0.0,280.0
TRN,1993,BIO,0.0,100.0
TRN,1993,COAL,0.0,100.0
TRN,1993,DIE,0.0,100.0
TRN,1993,geoth,0.0,280.0
TRN,1994,BIO,0.0,100.0
TRN,1994,COAL,0.0,100.0
TRN,1994,DIE,0.0,100.0
TRN,1994,geoth,0.0,280.0
TRN,1995,BIO,0.0,100.0
TRN,1995,COAL,0.0,100.0
TRN,1995,DIE,0.0,100.0
TRN,1995,geoth,0.0,280.0
TRN,1996,BIO,0.0,100.0
TRN,1996,COAL,0.0,100.0
TRN,1996,DIE,0.0,100.0
TRN,1996,geoth,0.0,280.0
TRN,1997,BIO,0.0,100.0
TRN,1997,COAL,0.0,100.0
TRN,1997,DIE,0.0,100.0
TRN,1997,geoth,0.0,280.0
TRN,1998,BIO,0.0,100.0
TRN,1998,COAL,0.0,100.0
TRN,1998,DIE,0.0,100.0
TRN,1998,geoth,0.0,280.0
TRN,1999,BIO,0.0,100.0
TRN,1999,COAL,0.0,100.0
TRN,1999,DIE,0.0,100.0
TRN,1999,geoth,0.0,280.0
TRN,2000,BIO,0.0,100.0
TRN,2000,COAL,0.0,100.0
TRN,2000,DIE,0.0,100.0
TRN,2000,geoth,0.0,280.0
TRN,2001,BIO,0.0,100.0
TRN,2001,COAL,0.0,100.0
TRN,2001,DIE,0.0,100.0
TRN,2001,geoth,0.0,280.0
TRN,2002,BIO,0.0,100.0
TRN,2002,COAL,0.0,100.0
TRN,2002,DIE,0.0,100.0
TRN,2002,geoth,0.0,280.0
TRN,2003,BIO,0.0,100.0
TRN,2003,COAL,0.0,100.0
TRN,2003,DIE,0.0,100.0
TRN,2003,geoth,0.0,280.0
TRN,2004,BIO,0.0,100.0
TRN,2004,COAL,0.0,100.0
TRN,2004,DIE,0.0,100.0
TRN,2004,geoth,0.0,280.0
TRN,2005,BIO,0.0,100.0
TRN,2005,COAL,0.0,100.0
TRN,2005,DIE,0.0,100.0
TRN,2005,geoth,0.0,280.0
TRN,2006,BIO,0.0,100.0
TRN,2006,COAL,0.0,100.0
TRN,2006,DIE,0.0,100.0
TRN,2006,geoth,0.0,280.0
TRN,2007,BIO,0.0,100.0
TRN,2007,COAL,0.0,100.0
TRN,2007,DIE,0.0,100.0
TRN,2007,geoth,0.0,280.0
TRN,2008,BIO,0.0,100.0
TRN,2008,COAL,0.0,100.0
TRN,2008,DIE,0.0,100.0
TRN,2008,geoth,0.0,280.0
TRN,2009,BIO,0.0,100.0
TRN,2009,COAL,0.0,100.0
TRN,2009,DIE,0.0,100.0
TRN,2009,geoth,0.0,280.0
TRN,2010,BIO,0.0,100.0
TRN,2010,COAL,0.0,100.0
TRN,2010,DIE,0.0,100.0
TRN,2010,geoth,0.0,280.0
TRN,2011,BIO,0.0,100.0
TRN,2011,COAL,0.0,100.0
TRN,2011,DIE,0.0,100.0
TRN,2011,geoth,0.0,280.0
TRN,2012,BIO,0.0,100.0
TRN,2012,COAL,0.0,100.0
TRN,2012,DIE,0.0,100.0
TRN,2012,geoth,0.0,280.0
TRN,2013,BIO,0.0,100.0
TRN,2013,COAL,0.0,100.0
TRN,2013,DIE,0.0,100.0
TRN,2013,geoth,0.0,280.0
TRN,2014,BIO,0.0,100.0
TRN,2014,COAL,0.0,100.0
TRN,2014,DIE,0.0,100.0
TRN,2014,geoth,0.0,280.0
TRN,2015,BIO,0.0,100.0
TRN,2015,COAL,0.0,100.0
TRN,2015,DIE,0.0,100.0
TRN,2015,geoth,0.0,280.0
TRN,2016,BIO,0.0,100.0
TRN,2016,COAL,0.0,100.0
TRN,2016,DIE,0.0,100.0
TRN,2016,geoth,0.0,280.0
TRN,2017,BIO,0.0,100.0
TRN,2017,COAL,0.0,100.0
TRN,2017,DIE,0.0,100.0
TRN,2017,geoth,0.0,280.0
TRN,2018,BIO,0.0,100.0
TRN,2018,COAL,0.0,100.0
TRN,2018,DIE,0.0,100.0
TRN,2018,geoth,0.0,280.0
TRN,2019,BIO,0.0,100.0
TRN,2019,COAL,0.0,100.0
TRN,2019,DIE,0.0,100.0
TRN,2019,geoth,0.0,280.0
TRN,2020,BIO,0.0,100.0
TRN,2020,Battery,0.0,50.0
TRN,2020,COAL,0.0,100.0
TRN,2020,DIE,0.0,100.0
TRN,2020,geoth,0.0,280.0
TRN,2020,pv_central_fixed,0.0,155.54731
TRN,2020,pv_central_track_azimuth,0.0,155.54731
TRN,2020,pv_decentral,0.0,0.26493
TRN,2020,wind_offshore_floating,0.0,70.73452999999999
TRN,2020,wind_offshore_foundation,0.0,8.922930000000001
TRN,2020,wind_onshore,0.0,6.6179499999999996
TRN,2021,BIO,0.0,100.0
TRN,2021,COAL,0.0,100.0
TRN,2021,DIE,0.0,100.0
TRN,2021,geoth,0.0,280.0
TRN,2022,BIO,0.0,100.0
TRN,2022,COAL,0.0,100.0
TRN,2022,DIE,0.0,100.0
TRN,2022,geoth,0.0,280.0
TRN,2023,BIO,0.0,100.0
TRN,2023,COAL,0.0,100.0
TRN,2023,DIE,0.0,100.0
TRN,2023,geoth,0.0,280.0
TRN,2024,BIO,0.0,100.0
TRN,2024,COAL,0.0,100.0
TRN,2024,DIE,0.0,100.0
TRN,2024,geoth,0.0,280.0
TRN,2025,BIO,0.0,100.0
TRN,2025,Battery,0.0,50.0
TRN,2025,COAL,0.0,100.0
TRN,2025,DIE,0.0,100.0
TRN,2025,geoth,0.0,280.0
TRN,2025,pv_central_fixed,0.0,155.54731
TRN,2025,pv_central_track_azimuth,0.0,155.54731
TRN,2025,pv_decentral,0.0,0.26493
TRN,2025,wind_offshore_floating,0.0,70.73452999999999
TRN,2025,wind_offshore_foundation,0.0,8.922930000000001
TRN,2025,wind_onshore,0.0,6.6179499999999996
TRN,2026,BIO,0.0,100.0
TRN,2026,COAL,0.0,100.0
TRN,2026,DIE,0.0,100.0
TRN,2026,geoth,0.0,280.0
TRN,2027,BIO,0.0,100.0
TRN,2027,COAL,0.0,100.0
TRN,2027,DIE,0.0,100.0
TRN,2027,geoth,0.0,280.0
TRN,2028,BIO,0.0,100.0
TRN,2028,COAL,0.0,100.0
TRN,2028,DIE,0.0,100.0
TRN,2028,geoth,0.0,280.0
TRN,2029,BIO,0.0,100.0
TRN,2029,COAL,0.0,100.0
TRN,2029,DIE,0.0,100.0
TRN,2029,geoth,0.0,280.0
TRN,2030,BIO,0.0,100.0
TRN,2030,Battery,0.0,50.0
TRN,2030,COAL,0.0,100.0
TRN,2030,DIE,0.0,100.0
TRN,2030,geoth,0.0,280.0
TRN,2030,pv_central_fixed,0.0,155.54731
TRN,2030,pv_central_track_azimuth,0.0,155.54731
TRN,2030,pv_decentral,0.0,0.26493
TRN,2030,wind_offshore_floating,0.0,70.73452999999999
TRN,2030,wind_offshore_foundation,0.0,8.922930000000001
TRN,2030,wind_onshore,0.0,6.6179499999999996
TRN,2031,BIO,0.0,100.0
TRN,2031,COAL,0.0,100.0
TRN,2031,DIE,0.0,100.0
TRN,2031,geoth,0.0,280.0
TRN,2032,BIO,0.0,100.0
TRN,2032,COAL,0.0,100.0
TRN,2032,DIE,0.0,100.0
TRN,2032,geoth,0.0,280.0
TRN,2033,BIO,0.0,100.0
TRN,2033,COAL,0.0,100.0
TRN,2033,DIE,0.0,100.0
TRN,2033,geoth,0.0,280.0
TRN,2034,BIO,0.0,100.0
TRN,2034,COAL,0.0,100.0
TRN,2034,DIE,0.0,100.0
TRN,2034,geoth,0.0,280.0
TRN,2035,BIO,0.0,100.0
TRN,2035,Battery,0.0,50.0
TRN,2035,COAL,0.0,100.0
TRN,2035,DIE,0.0,100.0
TRN,2035,geoth,0.0,280.0
TRN,2035,pv_central_fixed,0.0,155.54731
TRN,2035,pv_central_track_azimuth,0.0,155.54731
TRN,2035,pv_decentral,0.0,0.26493
TRN,2035,wind_offshore_floating,0.0,70.73452999999999
TRN,2035,wind_offshore_foundation,0.0,8.922930000000001
TRN,2035,wind_onshore,0.0,6.6179499999999996
TRN,2036,BIO,0.0,100.0
TRN,2036,COAL,0.0,100.0
TRN,2036,DIE,0.0,100.0
TRN,2036,geoth,0.0,280.0
TRN,2037,BIO,0.0,100.0
TRN,2037,COAL,0.0,100.0
TRN,2037,DIE,0.0,100.0
TRN,2037,geoth,0.0,280.0
TRN,2038,BIO,0.0,100.0
TRN,2038,COAL,0.0,100.0
TRN,2038,DIE,0.0,100.0
TRN,2038,geoth,0.0,280.0
TRN,2039,BIO,0.0,100.0
TRN,2039,COAL,0.0,100.0
TRN,2039,DIE,0.0,100.0
TRN,2039,geoth,0.0,280.0
TRN,2040,BIO,0.0,100.0
TRN,2040,Battery,0.0,50.0
TRN,2040,COAL,0.0,100.0
TRN,2040,DIE,0.0,100.0
TRN,2040,geoth,0.0,280.0
TRN,2040,pv_central_fixed,0.0,155.54731
TRN,2040,pv_central_track_azimuth,0.0,155.54731
TRN,2040,pv_decentral,0.0,0.26493
TRN,2040,wind_offshore_floating,0.0,70.73452999999999
TRN,2040,wind_offshore_foundation,0.0,8.922930000000001
TRN,2040,wind_onshore,0.0,6.6179499999999996
TRN,2041,BIO,0.0,100.0
TRN,2041,COAL,0.0,100.0
TRN,2041,DIE,0.0,100.0
TRN,2041,geoth,0.0,280.0
TRN,2042,BIO,0.0,100.0
TRN,2042,COAL,0.0,100.0
TRN,2042,DIE,0.0,100.0
TRN,2042,geoth,0.0,280.0
TRN,2043,BIO,0.0,100.0
TRN,2043,COAL,0.0,100.0
TRN,2043,DIE,0.0,100.0
TRN,2043,geoth,0.0,280.0
TRN,2044,BIO,0.0,100.0
TRN,2044,COAL,0.0,100.0
TRN,2044,DIE,0.0,100.0
TRN,2044,geoth,0.0,280.0
TRN,2045,BIO,0.0,100.0
TRN,2045,Battery,0.0,50.0
TRN,2045,COAL,0.0,100.0
TRN,2045,DIE,0.0,100.0
TRN,2045,geoth,0.0,280.0
TRN,2045,pv_central_fixed,0.0,155.54731
TRN,2045,pv_central_track_azimuth,0.0,155.54731
TRN,2045,pv_decentral,0.0,0.26493
TRN,2045,wind_offshore_floating,0.0,70.73452999999999
TRN,2045,wind_offshore_foundation,0.0,8.922930000000001
TRN,2045,wind_onshore,0.0,6.6179499999999996
TRN,2046,BIO,0.0,100.0
TRN,2046,COAL,0.0,100.0
TRN,2046,DIE,0.0,100.0
TRN,2046,geoth,0.0,280.0
TRN,2047,BIO,0.0,100.0
TRN,2047,COAL,0.0,100.0
TRN,2047,DIE,0.0,100.0
TRN,2047,geoth,0.0,280.0
TRN,2048,BIO,0.0,100.0
TRN,2048,COAL,0.0,100.0
TRN,2048,DIE,0.0,100.0
TRN,2048,geoth,0.0,280.0
TRN,2049,BIO,0.0,100.0
TRN,2049,COAL,0.0,100.0
TRN,2049,DIE,0.0,100.0
TRN,2049,geoth,0.0,280.0
TRN,2050,Battery,0.0,50.0
TRN,2050,pv_central_fixed,0.0,155.54731
TRN,2050,pv_central_track_azimuth,0.0,155.54731
TRN,2050,pv_decentral,0.0,0.26493
TRN,2050,wind_offshore_floating,0.0,70.73452999999999
TRN,2050,wind_offshore_foundation,0.0,8.922930000000001
TRN,2050,wind_onshore,0.0,6.6179499999999996
WEL,1992,BIO,0.0,100.0
WEL,1992,COAL,0.0,100.0
WEL,1992,DIE,0.0,100.0
WEL,1992,geoth,0.0,280.0
WEL,1993,BIO,0.0,100.0
WEL,1993,COAL,0.0,100.0
WEL,1993,DIE,0.0,100.0
WEL,1993,geoth,0.0,280.0
WEL,1994,BIO,0.0,100.0
WEL,1994,COAL,0.0,100.0
WEL,1994,DIE,0.0,100.0
WEL,1994,geoth,0.0,280.0
WEL,1995,BIO,0.0,100.0
WEL,1995,COAL,0.0,100.0
WEL,1995,DIE,0.0,100.0
WEL,1995,geoth,0.0,280.0
WEL,1996,BIO,0.0,100.0
WEL,1996,COAL,0.0,100.0
WEL,1996,DIE,0.0,100.0
WEL,1996,geoth,0.0,280.0
WEL,1997,BIO,0.0,100.0
WEL,1997,COAL,0.0,100.0
WEL,1997,DIE,0.0,100.0
WEL,1997,geoth,0.0,280.0
WEL,1998,BIO,0.0,100.0
WEL,1998,COAL,0.0,100.0
WEL,1998,DIE,0.0,100.0
WEL,1998,geoth,0.0,280.0
WEL,1999,BIO,0.0,100.0
WEL,1999,COAL,0.0,100.0
WEL,1999,DIE,0.0,100.0
WEL,1999,geoth,0.0,280.0
WEL,2000,BIO,0.0,100.0
WEL,2000,COAL,0.0,100.0
WEL,2000,DIE,0.0,100.0
WEL,2000,geoth,0.0,280.0
WEL,2001,BIO,0.0,100.0
WEL,2001,COAL,0.0,100.0
WEL,2001,DIE,0.0,100.0
WEL,2001,geoth,0.0,280.0
WEL,2002,BIO,0.0,100.0
WEL,2002,COAL,0.0,100.0
WEL,2002,DIE,0.0,100.0
WEL,2002,geoth,0.0,280.0
WEL,2003,BIO,0.0,100.0
WEL,2003,COAL,0.0,100.0
WEL,2003,DIE,0.0,100.0
WEL,2003,geoth,0.0,280.0
WEL,2004,BIO,0.0,100.0
WEL,2004,COAL,0.0,100.0
WEL,2004,DIE,0.0,100.0
WEL,2004,geoth,0.0,280.0
WEL,2005,BIO,0.0,100.0
WEL,2005,COAL,0.0,100.0
WEL,2005,DIE,0.0,100.0
WEL,2005,geoth,0.0,280.0
WEL,2006,BIO,0.0,100.0
WEL,2006,COAL,0.0,100.0
WEL,2006,DIE,0.0,100.0
WEL,2006,geoth,0.0,280.0
WEL,2007,BIO,0.0,100.0
WEL,2007,COAL,0.0,100.0
WEL,2007,DIE,0.0,100.0
WEL,2007,geoth,0.0,280.0
WEL,2008,BIO,0.0,100.0
WEL,2008,COAL,0.0,100.0
WEL,2008,DIE,0.0,100.0
WEL,2008,geoth,0.0,280.0
WEL,2009,BIO,0.0,100.0
WEL,2009,COAL,0.0,100.0
WEL,2009,DIE,0.0,100.0
WEL,2009,geoth,0.0,280.0
WEL,2010,BIO,0.0,100.0
WEL,2010,COAL,0.0,100.0
WEL,2010,DIE,0.0,100.0
WEL,2010,geoth,0.0,280.0
WEL,2011,BIO,0.0,100.0
WEL,2011,COAL,0.0,100.0
WEL,2011,DIE,0.0,100.0
WEL,2011,geoth,0.0,280.0
WEL,2012,BIO,0.0,100.0
WEL,2012,COAL,0.0,100.0
WEL,2012,DIE,0.0,100.0
WEL,2012,geoth,0.0,280.0
WEL,2013,BIO,0.0,100.0
WEL,2013,COAL,0.0,100.0
WEL,2013,DIE,0.0,100.0
WEL,2013,geoth,0.0,280.0
WEL,2014,BIO,0.0,100.0
WEL,2014,COAL,0.0,100.0
WEL,2014,DIE,0.0,100.0
WEL,2014,geoth,0.0,280.0
WEL,2015,BIO,0.0,100.0
WEL,2015,COAL,0.0,100.0
WEL,2015,DIE,0.0,100.0
WEL,2015,geoth,0.0,280.0
WEL,2016,BIO,0.0,100.0
WEL,2016,COAL,0.0,100.0
WEL,2016,DIE,0.0,100.0
WEL,2016,geoth,0.0,280.0
WEL,2017,BIO,0.0,100.0
WEL,2017,COAL,0.0,100.0
WEL,2017,DIE,0.0,100.0
WEL,2017,geoth,0.0,280.0
WEL,2018,BIO,0.0,100.0
WEL,2018,COAL,0.0,100.0
WEL,2018,DIE,0.0,100.0
WEL,2018,geoth,0.0,280.0
WEL,2019,BIO,0.0,100.0
WEL,2019,COAL,0.0,100.0
WEL,2019,DIE,0.0,100.0
WEL,2019,geoth,0.0,280.0
WEL,2020,BIO,0.0,100.0
WEL,2020,Battery,0.0,50.0
WEL,2020,COAL,0.0,100.0
WEL,2020,DIE,0.0,100.0
WEL,2020,geoth,0.0,280.0
WEL,2020,pv_central_fixed,0.0,153.41646
WEL,2020,pv_central_track_azimuth,0.0,153.37588
WEL,2020,pv_decentral,0.0,0.73494
WEL,2020,wind_offshore_floating,0.0,14.853069999999999
WEL,2020,wind_offshore_foundation,0.0,0.6467200000000001
WEL,2020,wind_onshore,0.0,6.18409
WEL,2021,BIO,0.0,100.0
WEL,2021,COAL,0.0,100.0
WEL,2021,DIE,0.0,100.0
WEL,2021,geoth,0.0,280.0
WEL,2022,BIO,0.0,100.0
WEL,2022,COAL,0.0,100.0
WEL,2022,DIE,0.0,100.0
WEL,2022,geoth,0.0,280.0
WEL,2023,BIO,0.0,100.0
WEL,2023,COAL,0.0,100.0
WEL,2023,DIE,0.0,100.0
WEL,2023,geoth,0.0,280.0
WEL,2024,BIO,0.0,100.0
WEL,2024,COAL,0.0,100.0
WEL,2024,DIE,0.0,100.0
WEL,2024,geoth,0.0,280.0
WEL,2025,BIO,0.0,100.0
WEL,2025,Battery,0.0,50.0
WEL,2025,COAL,0.0,100.0
WEL,2025,DIE,0.0,100.0
WEL,2025,geoth,0.0,280.0
WEL,2025,pv_central_fixed,0.0,153.41646
WEL,2025,pv_central_track_azimuth,0.0,153.37588
WEL,2025,pv_decentral,0.0,0.73494
WEL,2025,wind_offshore_floating,0.0,14.853069999999999
WEL,2025,wind_offshore_foundation,0.0,0.6467200000000001
WEL,2025,wind_onshore,0.0,6.18409
WEL,2026,BIO,0.0,100.0
WEL,2026,COAL,0.0,100.0
WEL,2026,DIE,0.0,100.0
WEL,2026,geoth,0.0,280.0
WEL,2027,BIO,0.0,100.0
WEL,2027,COAL,0.0,100.0
WEL,2027,DIE,0.0,100.0
WEL,2027,geoth,0.0,280.0
WEL,2028,BIO,0.0,100.0
WEL,2028,COAL,0.0,100.0
WEL,2028,DIE,0.0,100.0
WEL,2028,geoth,0.0,280.0
WEL,2029,BIO,0.0,100.0
WEL,2029,COAL,0.0,100.0
WEL,2029,DIE,0.0,100.0
WEL,2029,geoth,0.0,280.0
WEL,2030,BIO,0.0,100.0
WEL,2030,Battery,0.0,50.0
WEL,2030,COAL,0.0,100.0
WEL,2030,DIE,0.0,100.0
WEL,2030,geoth,0.0,280.0
WEL,2030,pv_central_fixed,0.0,153.41646
WEL,2030,pv_central_track_azimuth,0.0,153.37588
WEL,2030,pv_decentral,0.0,0.73494
WEL,2030,wind_offshore_floating,0.0,14.853069999999999
WEL,2030,wind_offshore_foundation,0.0,0.6467200000000001
WEL,2030,wind_onshore,0.0,6.18409
WEL,2031,BIO,0.0,100.0
WEL,2031,COAL,0.0,100.0
WEL,2031,DIE,0.0,100.0
WEL,2031,geoth,0.0,280.0
WEL,2032,BIO,0.0,100.0
WEL,2032,COAL,0.0,100.0
WEL,2032,DIE,0.0,100.0
WEL,2032,geoth,0.0,280.0
WEL,2033,BIO,0.0,100.0
WEL,2033,COAL,0.0,100.0
WEL,2033,DIE,0.0,100.0
WEL,2033,geoth,0.0,280.0
WEL,2034,BIO,0.0,100.0
WEL,2034,COAL,0.0,100.0
WEL,2034,DIE,0.0,100.0
WEL,2034,geoth,0.0,280.0
WEL,2035,BIO,0.0,100.0
WEL,2035,Battery,0.0,50.0
WEL,2035,COAL,0.0,100.0
WEL,2035,DIE,0.0,100.0
WEL,2035,geoth,0.0,280.0
WEL,2035,pv_central_fixed,0.0,153.41646
WEL,2035,pv_central_track_azimuth,0.0,153.37588
WEL,2035,pv_decentral,0.0,0.73494
WEL,2035,wind_offshore_floating,0.0,14.853069999999999
WEL,2035,wind_offshore_foundation,0.0,0.6467200000000001
WEL,2035,wind_onshore,0.0,6.18409
WEL,2036,BIO,0.0,100.0
WEL,2036,COAL,0.0,100.0
WEL,2036,DIE,0.0,100.0
WEL,2036,geoth,0.0,280.0
WEL,2037,BIO,0.0,100.0
WEL,2037,COAL,0.0,100.0
WEL,2037,DIE,0.0,100.0
WEL,2037,geoth,0.0,280.0
WEL,2038,BIO,0.0,100.0
WEL,2038,COAL,0.0,100.0
WEL,2038,DIE,0.0,100.0
WEL,2038,geoth,0.0,280.0
WEL,2039,BIO,0.0,100.0
WEL,2039,COAL,0.0,100.0
WEL,2039,DIE,0.0,100.0
WEL,2039,geoth,0.0,280.0
WEL,2040,BIO,0.0,100.0
WEL,2040,Battery,0.0,50.0
WEL,2040,COAL,0.0,100.0
WEL,2040,DIE,0.0,100.0
WEL,2040,geoth,0.0,280.0
WEL,2040,pv_central_fixed,0.0,153.41646
WEL,2040,pv_central_track_azimuth,0.0,153.37588
WEL,2040,pv_decentral,0.0,0.73494
WEL,2040,wind_offshore_floating,0.0,14.853069999999999
WEL,2040,wind_offshore_foundation,0.0,0.6467200000000001
WEL,2040,wind_onshore,0.0,6.18409
WEL,2041,BIO,0.0,100.0
WEL,2041,COAL,0.0,100.0
WEL,2041,DIE,0.0,100.0
WEL,2041,geoth,0.0,280.0
WEL,2042,BIO,0.0,100.0
WEL,2042,COAL,0.0,100.0
WEL,2042,DIE,0.0,100.0
WEL,2042,geoth,0.0,280.0
WEL,2043,BIO,0.0,100.0
WEL,2043,COAL,0.0,100.0
WEL,2043,DIE,0.0,100.0
WEL,2043,geoth,0.0,280.0
WEL,2044,BIO,0.0,100.0
WEL,2044,COAL,0.0,100.0
WEL,2044,DIE,0.0,100.0
WEL,2044,geoth,0.0,280.0
WEL,2045,BIO,0.0,100.0
